"MAC","Hersteller","Straße", "Ort", "Land"
"1C0FCF","Sypro Optics GmbH","Carl-Zeiss-Promenade 10","Jena  Thuringia  07745","DE"
"0494A1","CATCH THE WIND INC","10781 JAMES PAYNE COURT","MANASSAS  VA  20110","US"
"003A99","Cisco Systems, Inc","80 West Tasman Drive","San Jose  CA  94568","US"
"003A9A","Cisco Systems, Inc","80 West Tasman Drive","San Jose  CA  94568","US"
"003A98","Cisco Systems, Inc","80 West Tasman Drive","San Jose  CA  94568","US"
"D411D6","ShotSpotter, Inc.","1060 Terra Bella Ave.","Mountain View  CA  94043","US"
"9CAFCA","Cisco Systems, Inc","80 West Tasman Drive","San Jose  CA  94568","US"
"7C7BE4","Z'SEDAI KENKYUSHO CORPORATION","Meikai sannomiya 2nd Bldg. 11th/fl.","Kobe  Hyogo  650-0034","JP"
"F0DE71","Shanghai EDO Technologies Co.,Ltd.","Unit 12302, Building 12,498 Guoshoujing Road, Pudong New Area","Shanghai    201203","CN"
"60D30A","Quatius Limited","Units 05-07, 16/F, Greenfield Tower, Concordia Plaza,","Kowloon","HK"
"24CF21","Shenzhen State Micro Technology Co., Ltd","SSMEC Building2/F, Gao Xin Nan First Avenue, Hi-Tech Park South, Nanshan","Shenzhen City  Guangdong Province  518057","CN"
"10BAA5","GANA I&C CO., LTD","154-17 kyoungdong B/D 3F karak-dong songpa-gu","Seoul  Korea  138-160","KR"
"64BC11","CombiQ AB","Science Park","Jonkoping    553 18","SE"
"EC3091","Cisco Systems, Inc","80 West Tasman Drive","San Jose  CA  94568","US"
"F4ACC1","Cisco Systems, Inc","80 West Tasman Drive","San Jose  CA  94568","US"
"4097D1","BK Electronics cc","150 Swaardlelie Ave","Pretoria  Gauteng  0184","ZA"
"0CE936","ELIMOS srl","Area Science Park - Padriciano 99","TRIESTE    34149","IT"
"60391F","ABB Ltd","Distribution Automation","Vadodara  Gujarat  390013","IN"
"E8A4C1","Deep Sea Electronics Ltd","Highfield House","Hunmanby  North Yorkshire  YO14 0PH","GB"
"64F970","Kenade Electronics Technology Co.,LTD.","F/G room,11/F,Hangdu building,Huafu Rd, Futian district,","ShenZhen  GuangDong  518028","CN"
"C87248","Aplicom Oy","Rautatienkatu 56","Äänekoski  Länsi-Suomi  44101","FI"
"986DC8","TOSHIBA MITSUBISHI-ELECTRIC INDUSTRIAL SYSTEMS CORPORATION","TOKYO SQUARE GARDEN","3-1-1 Kyobashi, CHUO-KU  Tokyo  104-0031","JP"
"6CAC60","Venetex Corp","8-3-9,Shin-machi","Ome-shi,  Tokyo  198-0024","JP"
"F04BF2","JTECH Communications, Inc.","6413 Congress Ave.","Boca Raton  FL  33487","US"
"88A5BD","QPCOM INC.","6030 NW 99 AVE","DORAL  FLORIDA  33178","US"
"80177D","Nortel Networks","CARRETERA BASE AEREA # 5850","Zapopan  Jalisco  44130","MX"
"C82E94","Halfa Enterprise Co., Ltd.","5F, No.102, Ming Chuan Road","Hsin Tien  Taipei County  23141","TW"
"BC9DA5","DASCOM Europe GmbH","Heuweg 3","Ulm  Baden-Württemberg  89079","DE"
"28FBD3","Ragentek Technology Group","D10/D11，No.3188, Xiupu Road, PuDong District, Shanghai","Shanghai    201703","CN"
"586ED6","Private","","C8-D2-C1   (hex)		Jetlun (Shenzhen) Corporation","C8D2C1     (base 16)		Jetlun (Shenzhen) Corporation"
"E09153","XAVi Technologies Corp.","9F., No129, Xingde RD.,Sanchong Dist.,","New Taipei  Taiwan  24158","TW"
"002712","MaxVision LLC","495 Production Ave","Madison  AL  35758","US"
"D4C766","Acentic GmbH","Venloer Strasse 151-153","Cologne    50672","DE"
"A02EF3","United Integrated Services Co., Led.","5F No 3 Lane 7 Packao Road Hsintien","Taipei Hsien    23144","TW"
"A09805","OpenVox Communication Co Ltd","F2,Building No.14,Shangsha Science &","ShenZhen  GuangDong  518031","CN"
"0026F3","SMC Networks","20 Mason","Irvine  CA  92618","US"
"0026E7","Shanghai ONLAN Communication Tech. Co., Ltd.","3F, 6C, No. 1658, Gumei Road, Xuhui District","Shanghai    200233","CN"
"00271F","MIPRO Electronics Co., Ltd","814,Peikang Road","Chiayi    60096","TW"
"00270C","Cisco Systems, Inc","80 West Tasman Drive","San Jose  CA  94568","US"
"0026E0","ASITEQ","5F, DONGYOUNG Bldg,382-6,Yatap dong","Sung Nam si  Kyounggi-do  463-827","KR"
"002703","Testech Electronics Pte Ltd","Block 118, #05-110,","Singapore    380118","SG"
"0026C5","Guangdong Gosun Telecommunications Co.,Ltd","Guangdong software park D, No.11, CaiPing road , Guangzhou science city","Guangzhou  Guangdong  510663","CN"
"0026C4","Cadmos microsystems S.r.l.","Via Pietro Frattini, 255","Roma    00149","IT"
"0026C8","System Sensor","3825 Ohio Avenue","Saint Charles  IL  60174","US"
"0026C2","SCDI Co. LTD","#451, Hagal-Dong, Giheung-Gu,","Yongin-Si  Gyeonggi-Do  446-930","KR"
"002697","Alpha Technologies Inc.","3767 Alpha Way","Bellingham  WA  98226","US"
"00268A","Terrier SC Ltd","Strettit Farm","East Peckham  Kent  TN12 5EE","GB"
"0026A5","MICROROBOT.CO.,LTD","167-3 Gungpyeong-ri","Gwangju-si  Gyeonggi-Do  464-881","KR"
"0026A3","FQ Ingenieria Electronica S.A.","Avda. Roquetes 9","Sant Pere de Ribes  Barcelona  08812","ES"
"00269D","M2Mnet Co., Ltd.","607 Downtown Bld. 1043-1 Hogye-Dong Dongan-Gu","Anyang-City  Kyunggi-Do  431-080","KR"
"00267A","wuhan hongxin telecommunication technologies co.,ltd","No.5 Donxin Road,Wuhan East Lake High-Tech Development Zone","Wuhan  Hubei  430073","CN"
"002672","AAMP of America","13190 56th Court","Clearwater  Florida  33760","US"
"002689","General Dynamics Robotic Systems","1231 Tech Court","Westminster  MD  21157","US"
"002685","Digital Innovation","Travbaneveien 6","Trondheim    7044","NO"
"0026CF","DEKA R&D","340 Commercial Street","Manchester  NH  03101","US"
"002664","Core System Japan","Bunshu Bldg,2-27-6,Myojin","Hachioji  Tokyo  1920046","JP"
"002659","Nintendo Co., Ltd.","11-1 HOKOTATE-CHO KAMITOBA, MINAMI-KU","KYOTO  KYOTO  601-8501","JP"
"002651","Cisco Systems, Inc","80 West Tasman Drive","San Jose  CA  94568","US"
"00264E","r2p GmbH","Norderhofenden 12-13","Flensburg    24937","DE"
"00264F","Krüger &Gothe GmbH","Atzendorfer Straße 19","Staßfurt  Sachsen Anhalt  39418","DE"
"0026A9","Strong Technologies Pty Ltd","60 Wedgewood Road","Hallam  Victoria  3803","AU"
"0025E9","i-mate Development, Inc.","8383 158th Ave. N.E., Suite 300, Redmond,","Washington  WA  98052-3871","US"
"0025E6","Belgian Monitoring Systems bvba","Th. Sevenslaan 106","Kortrijk  WVL  8500","BE"
"0025E0","CeedTec Sdn Bhd","303-4-5, Krystal Point Business Center","Bayan Lepas  Penang  11900","MY"
"0025DE","Probits Co., LTD.","#1502, Kolon Science Valley II, 811","Seoul    152-878","KR"
"0025CE","InnerSpace","PO Box 2186","Grand Rapids  MI  49501","US"
"0025C6","kasercorp, ltd","South 20,Gaobu Road,Gaobu Town","Dongwan  Guangdong  523000","CN"
"0025C5","Star Link Communication Pvt. Ltd.","HR114/6 & Hr132/6, Pulprehladpur,","New Delhi    110044","IN"
"0025C7","altek Corporation","3F, No. 10, Li-Hsin Road, Science-Based Industrial Park,","Hsinchu","TW"
"0025FF","CreNova Multimedia Co., Ltd","7/F, Hana EZ Tower, Gumi-Dong 10, Sungnam Rd 43,","Sungnam-Si  Kyunggi-Do  463-870","KR"
"002612","Space Exploration Technologies","1 Rocket Road","Hawthorne  CA  90250","US"
"002616","Rosemount Inc.","8200 Market Boulevard","Chanhassen  MN  55317","US"
"00260B","Cisco Systems, Inc","80 West Tasman Drive","San Jose  CA  94568","US"
"0025FD","OBR Centrum Techniki Morskiej S.A.","Dickmana 62","Gdynia    81-109","US"
"002600","TEAC Australia Pty Ltd.","75 Northgate Drive","Thomastown  Victoria  3074","AU"
"0025F3","Nordwestdeutsche Zählerrevision","Ing. Aug. Knemeyer GmbH & Co. KG","Bad Laer  Niedersachsen  49196","DE"
"0025EC","Humanware","445 rue du Parc Industriel","Longueuil  Québec  J4H 3V7","CA"
"0025ED","NuVo Technologies LLC","3015 Kustom Drive","Hebron  KY  41048","US"
"002623","JRD Communication Inc","16/F, TCL Tower, Gaoxin Nanyi Road, Nanshan District","Shenzhen  Guangdong  518057","CN"
"002627","Truesell","301 Sungyun Bldg, 89-2","Seocho-gu,  Seoul  137-130","KR"
"002621","InteliCloud Technology Inc.","895 Dove St.","Newport Beach  CA  92660","US"
"00261C","NEOVIA INC.","503 LOTTE IT CASTLE 1DONG,550-1","SEOUL    153-768","KR"
"002639","T.M. Electronics, Inc.","45 Main St","Boylston  MA  01505","US"
"0025DD","SUNNYTEK INFORMATION CO., LTD.","12F, NO. 88, HSIN-TE ROAD","TAIPEI HSIEN    241","TW"
"0025B0","Schmartz Inc","2307 Valerian Trl","Round Rock  TX  78665","US"
"0025AD","Manufacturing Resources International","6415 Shiloh Road East","Alpharetta  GA  30005","US"
"0025AC","I-Tech corporation","1-15 Shin-ogawa machi","Shinjyuku-ku  Tokyo  162-0814","JP"
"0025AB","AIO LCD PC BU / TPV","10F., No., 230, Liancheng Rd.","Zhonghe City  Taipei Taiwan  23553","TW"
"0025BA","Alcatel-Lucent IPD","701 E. Middlefield Rd.","Mountain View  CA  94043","US"
"0025BB","INNERINT Co., Ltd.","Dongyoung CentralTower #202, Geumjung-dong,","Gunpo-si  Kyunggi-do  430050","KR"
"0025B1","Maya-Creation Corporation","3F, Building M-10, Centre od Hi-Tech Ind. Dist.","Shenzhen    518057","CN"
"0025B8","Agile Communications, Inc.","810 Lawrence Dr","Thousand Oaks  California  91320","US"
"0025A1","Enalasys","250 Avenida Campillo","Calexico  California  92231","US"
"00259A","CEStronics GmbH","Friedrichstraße 243","Velbert    42551","DE"
"00254A","RingCube Technologies, Inc.","100 West Evelyn Ave, Suite 210","Mountain View  CA  94041","US"
"002583","Cisco Systems, Inc","80 West Tasman Drive","San Jose  CA  94568","US"
"00255D","Morningstar Corporation","10611 Iron Bridge Road","Jessup  MD  20794","US"
"002558","MPEDIA","Shinyoung Tower 12F 246-2","Seongnam  Gyeonggi-do  463-824","KR"
"002591","NEXTEK, Inc.","410 Douglass Street","Reading  PA  19601","US"
"00258D","Haier","No.1,Haier Road","Qingdao  Shandong  266101","CN"
"002571","Zhejiang Tianle Digital Electric Co.,Ltd","No.8 Tianle Rd,Economic Development Zone","Shengzhou  Zhejiang  312400","CN"
"00254F","ELETTROLAB Srl","Via Dell'Industria 25","San Vendemiano  Treviso  31020","IT"
"002549","Jeorich Tech. Co.,Ltd.","4F., No.6, Ln. 70, Sec. 2, Academia Rd., Nangang District, Taipei City 115, Taiwan (R.O.C.)","Taipei  Taiwan  110","TW"
"002539","IfTA GmbH","Industriestraße 33","Groebenzell  Bavaria  82194","DE"
"002537","Runcom Technologies Ltd.","11 Moshe Levi Str. 11th Flr.","Rishon Le Zion    75658","IL"
"002538","Samsung Electronics Co., Ltd., Memory Division","San #16 Banwol-Dong, Taean-Gu","Hwasung City  Gyeonggi Do  445-701","KR"
"002544","LoJack Corporation","780 Dedham Street","Canton  MA  02021","US"
"002532","Digital Recorders","4018 Patriot Drive","Durham  NC  27709","US"
"0024F8","Technical Solutions Company Ltd.","Box 31750","Whitehorse  Yukon  Y1A 6L3","CA"
"0024F9","Cisco Systems, Inc","80 West Tasman Drive","San Jose  CA  94568","US"
"0024F2","Uniphone Telecommunication Co., Ltd.","No. 25, Chu-Kung 3rd Lane, Chu-Hou Tsung, Jen-Wu Hsiang,","Kaohsiung Hsien    81448","TW"
"002507","ASTAK Inc.","1911 Hartog Drive","San Jose  CA  95131","US"
"002502","NaturalPoint","PO Box 2317","Corvallis  OR  97339","US"
"00251A","Psiber Data Systems Inc.","7075-K Mission Gorge Rd","San Diego  CA  92120","US"
"002514","PC Worth Int'l Co., Ltd.","18F, No.100, Sec. 1, Xintai 5th Rd., Xizhi Dist.,","New Taipei City  Taipei  22102","TW"
"00250B","CENTROFACTOR INC","Road Town, Tortola, P.O.Box 3161,","Tortola    194295","VG"
"002506","A.I. ANTITACCHEGGIO ITALIA SRL","VICOLO DELLE DAME 4","BOLOGNA    40124","IT"
"0024EE","Wynmax Inc.","18F., No. 75, Sec. 1, XinTai 5th  Rd.,","Xizhi  City,  Taipei County  221","TW"
"0024E3","CAO Group","4628 West Skyhawk Drive","West Jordan  UT  84084","US"
"00251C","EDT","1400 SW Compton","Beaverton  OR  97008","US"
"002469","Fasttel - Smart Doorphones","Klipsenstraat 18A","Lokeren    9160","BE"
"002464","Bridge Technologies Co AS","Mølleparken 4","Oslo    0459","NO"
"002462","Rayzone Corporation","#2008, B-Dong, Samho BLDG","Seoul    137-941","KR"
"002475","Compass System(Embedded Dept.)","1403 ACE TechnoTower 8th","Seoul    152-050","KR"
"00246F","Onda Communication spa","via del lavoro 9","pordenone    33170","IT"
"00249D","NES Technology Inc.","#205 ACE Technotower 10, 470-5 Gasan-dong","Seoul    153-789","KR"
"00248E","Infoware ZRt.","Huseg u. 10/a","Budapest    1223","HU"
"002494","Shenzhen Baoxin Tech CO., Ltd.","6F Huale BLDG., Zhonghangbei Rd.,","Shenzhen  GuangDong  518028","CN"
"0024E1","Convey Computer Corp.","1302 E. Collins Blvd.","Richardson  TX  75081","US"
"0024D9","BICOM, Inc.","755 Main Street","Monroe  CT  06468","US"
"002489","Vodafone Omnitel N.V.","Via Jervis 13","10015  Ivrea  Torino","IT"
"00247F","Nortel Networks","2221 Lakeside Blvd","Richardson  TX  75081","US"
"0024B5","Nortel Networks","2221 Lakeside Blvd","Richardson  TX  75081","US"
"0024B0","ESAB AB","Box 8004","Göteborg    SE-402 77","SE"
"0024C3","Cisco Systems, Inc","80 West Tasman Drive","San Jose  CA  94568","US"
"0024C4","Cisco Systems, Inc","80 West Tasman Drive","San Jose  CA  94568","US"
"0023FD","AFT Atlas Fahrzeugtechnik GmbH","Gewerbestraße 14","Werdohl    58791","DE"
"0023EF","Zuend Systemtechnik AG","Industriestrasse 8","Altstaetten  SG  9450","CH"
"002413","Cisco Systems, Inc","80 West Tasman Drive","San Jose  CA  94568","US"
"00240E","Inventec Besta Co., Ltd.","10FL, No.36, Lane 513, Rui Guang Road, Nei Hu Dist.","Taipei    114","TW"
"002405","Dilog Nordic AB","Faktorvägen 9","Kungsbacka  Halland  439 34","SE"
"002420","NetUP Inc.","Olof Palme st., 1, sect. 7","Moscow    119311","RU"
"00241E","Nintendo Co., Ltd.","11-1 HOKOTATE-CHO KAMITOBA, MINAMI-KU","KYOTO  KYOTO  601-8501","JP"
"00241F","DCT-Delta GmbH","Bodanrückstraße 1","Bodman - Ludwigshafen  Baden-Württemberg  78351","DE"
"0023E8","Demco Corp.","#919, Doosan Venturedigm, 126-1","Anyang-Si  Kyungki-Do  431-070","US"
"0023E3","Microtronic AG","Duennernstrasse 32","Oensingen  Solothurn  4702","CH"
"002460","Giaval Science Development Co. Ltd.","58 Bei Si Huan Xi Rd","Beijing  100080","CN"
"00245C","Design-Com Technologies Pty. Ltd.","14 Redland Drive","Mitcham  Victoria  3132","AU"
"00244F","Asantron Technologies Ltd.","3F-1, No.30 Jihe Rd., 111","Taipei    11166","TW"
"002444","Nintendo Co., Ltd.","11-1 HOKOTATE-CHO KAMITOBA, MINAMI-KU","KYOTO  KYOTO  601-8501","JP"
"00243D","Emerson Appliance Motors and Controls","1901 South St.","Elgin  IL  60123","US"
"002437","Motorola - BSG","1101 Marina Village Pkwy","Alameda  CA  94501","US"
"00235B","Gulfstream","32 Lummus Drive","Savannah  GA  31407","US"
"002359","Benchmark Electronics ( Thailand ) Public Company Limited","94 Moo 1, Hi-Tech Industrial Estate","Bang Pa-in  Ayudhaya  13160","TH"
"002357","Pitronot Technologies and Engineering P.T.E. Ltd.","8 Hatut st","Pardesiya    42815","IL"
"002355","Kinco Automation(Shanghai) Ltd.","Bldg1, No.1387, Zhangdong Road,","Shanghai  201203","CN"
"002373","GridIron Systems, Inc.","726 Palomar Ave","Sunnyvale  CA  94085","US"
"002367","UniControls a.s.","Krenicka 2257","Prague 10    100 00","CZ"
"002368","Zebra Technologies Inc","475 Half Day Road","Lincolnshire  IL  60069","US"
"00236E","Burster GmbH & Co KG","Talstraße 1-5","Gernsbach  Baden-Württemberg  76593","DE"
"002366","Beijing Siasun Electronic System Co.,Ltd.","Rm.1018 Huatian Bldg, No.6 Bei Xiaomachang","Beijing    100038","CN"
"00239F","Institut für Prüftechnik","Schulstraße 3","Todtenweis  Bayern  86447","DE"
"00239D","Mapower Electronics Co., Ltd","No. 50 Minquan Road","Taoyuan County    33846","TW"
"002398","Vutlan sro","ul. Svornosti 43","Bratislava  BA  82 106","SK"
"0023DD","ELGIN S.A.","RUA BARAO DE CAMPINAS, 305","São Paulo    01201-901","BR"
"0023DE","Ansync Inc.","4970 Robert J Matthews Pky","El Dorado Hills  CA  95762","US"
"0023D9","Banner Engineering","9714 10th Ave. N.","Plymouth  MN  55441","US"
"0023DA","Industrial Computer Source (Deutschland)GmbH","Marie-Curie-Straße 9","Pulheim  NRW  50259","DE"
"0023D8","Ball-It Oy","Uusikatu 24 G 76","Oulu    90100","FI"
"00238F","NIDEC COPAL CORPORATION","2-18-10,SHIMURA","ITABASHI-KU  TOKYO  174-8550","JP"
"0023AC","Cisco Systems, Inc","80 West Tasman Drive","San Jose  CA  94568","US"
"002380","Nanoteq","PO Box 7991","Centurion  Gauteng  0046","ZA"
"0023B7","Q-Light Co., Ltd.","178-1 Woogye-Ri, Sangdong-Myun,","Gimhae-Si  GyungsangNam-Do  621-812","KR"
"00231E","Cezzer Multimedia Technologies","Pépinière d'entreprises CREATIC","Plouzané    29280","FR"
"00231F","Guangda Electronic & Telecommunication Technology Development Co., Ltd.","#8 Gaopengdong Road, Gaoxin District","Chengdu  Sichuan  610041","CN"
"002270","ABK North America, LLC","440 North Wolfe Rd.","Sunnyvale  CA  94085","US"
"002313","Qool Technologies Ltd.","Gotanda Chuo Bldg 8f, 2-3-5","Shinagawa-ku  Tokyo  141-0022","JP"
"002310","LNC Technology Co., Ltd.","19F, No. 78-2, Sec. 3, Taichung Kang Rd.","Taichung    40764","TW"
"00230C","CLOVER ELECTRONICS CO.,LTD.","AKENO 306-1","ISE City  MIE Prefecture  519-0501","JP"
"0022CD","Ared Technology Co., Ltd.","6F-8 No.83 Sec.1, Nankan Rd. Luzhu Shiang","Taoyuan County  Taiwan  33859","TW"
"0022CC","SciLog, Inc.","8845 South Greenview Drive","Middleton  Wisconsin  53562","US"
"0022CB","IONODES Inc.","4001 boulevard Industriel","Laval  Quebec  H7L4S3","CA"
"0022C6","Sutus Inc","301-3999 Henning Drive","Burnaby  British Columbia  V5C 6P9","CA"
"0022EF","iWDL Technologies","10522 Meinert Rd","Wexford  PA  15090","US"
"0022F2","SunPower Corp","1414 Harbour Way South","Richmond  CA  94804","US"
"0022E8","Applition Co., Ltd.","509-1, Bundang Techno Park D-dong,","SeongNam  Kyunggi-do  463-760","KR"
"0022E9","ProVision Communications","1 Portland Square","Bristol    BS2 8RR","GB"
"0022E6","Intelligent Data","Edf. Inverinnova – Avda. Punto Mobi, 4. Parque Científico Tecnológico","Alcalá de Henares  Madrid  28805","ES"
"0022C8","Applied Instruments B.V.","Dynamoweg 3","Vlissingen  Zeeland  NL-4382WZ","NL"
"0022C0","Shenzhen Forcelink Electronic Co, Ltd","2nd and 3rd floor, Hasse manufacture building, Hasee industrial park","Shenzhen  Guangdong  518112","CN"
"002301","Witron Technology Limited","6/F, Xin Rui Building, 32 Tao Hua Road, Futian Free Trade Zone,","Shenzhen  86","CN"
"0022F7","Conceptronic","Databankweg 7","AMERSFOORT  utrecht  3821 AL","NL"
"0022EB","Data Respons A/S","Ellekær 6","Herlev    2730","DK"
"00231B","Danaher Motion - Kollmorgen","201 W. Rock Road","Radford  VA  24141","US"
"002334","Cisco Systems, Inc","80 West Tasman Drive","San Jose  CA  94568","US"
"0022E3","Amerigon","21680 Haggerty Road","Northville  Michigan  48167","US"
"0022E2","WABTEC Transit Division","130 Ridgeview Circle","Duncan  SC  29334","US"
"00233F","Purechoice Inc","11481 Rupp Drive","Burnsville  MN  55337","US"
"002237","Shinhint Group","Unit 1506, 15/F, Nanyang Plaza,, 57 Hung To Road,","","HK"
"00222F","Open Grid Computing, Inc.","4030-1 West Braker Lane STE130","Austin  TX  78759","US"
"0022A6","Sony Computer Entertainment America","919 East Hillsdale Blvd","Foster City  California  94404-2175","US"
"0022A7","Tyco Electronics AMP GmbH","Amperestraße 12-14","Bensheim  Hessen  64625","DE"
"0022A1","Huawei Symantec Technologies Co.,Ltd.","Building 1,The West Zone Science Park of UESTC,No.88,Tianchen Road","Chengdu  Sichuan  611731","CN"
"002278","Shenzhen Tongfang Multimedia Technology Co.,Ltd.","2f Sector D of TongFang Information Harbor","Nanshan District, Shenzhen  GuangDong  518058","CN"
"00227A","Telecom Design","Za Remora","33170  Gradignan","FR"
"00226F","3onedata Technology Co. Ltd.","3/F, B/2, Jiuxiangling Industrial District, Xili Town, Nanshan District,","Shenzhen  Guangdong  518055","CN"
"002260","AFREEY Inc.","6F, No.249, Chien I Road","Chung Ho City  Taipei County  235","TW"
"00229D","PYUNG-HWA IND.CO.,LTD","230-1","HWASUNG-SI  KYUNGGI-DO  445-912","KR"
"002296","LinoWave Corporation","1001-101 Champlain Avenue","Burlington  Ontario  L7L 5Z4","CA"
"00223E","IRTrans GmbH","Einsteinstrasse 14","Unterschleissheim  BAYERN  85716","DE"
"002250","Point Six Wireless, LLC","2333 Alumni Park Plaza","Lexington  KY  40517","US"
"002244","Chengdu Linkon Communications Device Co., Ltd","5f-02, Juntong Building, No. 53,Shuangfeng Road, Wuhou District,","Chengdu  Sichuan  610041","CN"
"0021CA","ART System Co., Ltd.","Mobile Techno Bldg Room 910","Dae-Gu    702-020","KR"
"0021CB","SMS TECNOLOGIA ELETRONICA LTDA","Av. Pirâmide, 661","DIADEMA  São Paulo  09970330","BR"
"0021C8","LOHUIS Networks","2681 TV Monster","Votlaan 408  Votlaan  31","NL"
"0021BF","Hitachi High-Tech Control Systems Corporation","500,Miyu-cho","Mito-shi  Ibaraki-ken  319-0316","JP"
"0021BC","ZALA COMPUTER","EL BOUNI","ANNABA    23000","DZ"
"0021EF","Kapsys","790 Av du Docteur Maurice Donat","06250 Mougins  Sophia Antipolis","FR"
"0021ED","Telegesis","84 Station Road","Marlow  Bucks  SL7 1NX","GB"
"0021EB","ESP SYSTEMS, LLC","1422 East Fourth Street","Charlotte  NC  28204","US"
"0021DF","Martin Christ GmbH","An der Unteren Soese 50","Osterode  Niedersachsen  37520","DE"
"0021D4","Vollmer Werke GmbH","Maschinenfabrik","Biberach  Baden-Württemberg  88400","DE"
"0021D6","LXI Consortium","P.O. Box 1016","Niwot  CO  80544-1016","US"
"0021CE","NTC-Metrotek","9, Nevzorovoy street","Saint-Petersburg    192148","RU"
"002206","Cyberdyne Inc.","504 @C49-2","Tsukuba-shi  Ibaraki-ken  305-0817","JP"
"002202","Excito Elektronik i Skåne AB","Box 126","Löddeköpinge    246 22","SE"
"0021F6","Oracle Corporation","900 Chelmsford Street","Lowell  MA  01851","US"
"0021DB","Santachi Video Technology (Shenzhen) Co., Ltd.","Santachi Building,#14 Kaifeng Road,Meilin,","Shenzhen  Guangdong  518049","CN"
"002220","Mitac Technology Corp","9th Fl., #75, Min-sheng E. Road, Sec. 3,","Taipei    104","TW"
"002227","uv-electronic GmbH","Grosswiesenstraße 20","Durchhausen  Baden-Württemberg  78591","DE"
"0021B4","APRO MEDIA CO., LTD","#13-5,Dodang-Dong,Wonmi-Gu,","Bucheon-City  Kyunggi-Do  420-801","KR"
"0021A8","Telephonics Corporation","815 Broad Hollow Road","Farmingdale  New York  11790","US"
"0021A9","Mobilink Telecom Co.,Ltd","292-3 Sindang-ri, Sandong-myun","Gumi  Gyeongbuk  730-853","KR"
"00220E","Indigo Security Co., Ltd.","2nd Floor, 277-169 Sungsoo2-Ga, Sungdong-Gu","Seoul    133-832","KR"
"002207","Inteno Broadband Technology AB","Stensätravägen 13","Skärholmen  SE  127 39","SE"
"002225","Thales Avionics Ltd","86 Bushey Road","London    SW20 0JW","GB"
"00221E","Media Devices Co., Ltd.","Rm1002 Ace TechnoTower(9th) 345-30","Seoul    153-802","KR"
"00213B","Berkshire Products, Inc","PO Box 2819","Cumming  GA  30028","US"
"002137","Bay Controls, LLC","6528 Weatherfield Ct","Maumee  OH  43537","US"
"002139","Escherlogic Inc.","1481 Rosebank Rd.","Pickering  Ontario  L1V 1P3","CA"
"00215E","IBM Corp","3039 E Cornwallis Road","Research Triangle Park  NC  27709-2195","US"
"002155","Cisco Systems, Inc","80 West Tasman Drive","San Jose  CA  94568","US"
"002157","National Datacast, Inc.","2100 Crystal Drive, Suite 750","Arlington  VA  22202","US"
"00214D","Guangzhou Skytone Transmission Technology Com. Ltd.","3/F West, Block 4, Huangzhou","Guangzhou  Guangdong  510660","CN"
"002150","EYEVIEW ELECTRONICS","3 Floor, No. 86, Kung Yeh 32 Road","TAICHUNG    407","TW"
"002174","AvaLAN Wireless","958 San Leandro Ave, Suite 900","Mountain View  CA  94043","US"
"002179","IOGEAR, Inc.","23 Hubble","Irvine  CA  92618","US"
"00212C","SemIndia System Private Limited","No. 1106/9, A.M Industrial Estate, Garvebhavipalya","Bangalore  Karnataka  560 068","IN"
"00212B","MSA Auer","Thiemannstraße 1","Berlin    12059","DE"
"00212A","Audiovox Corporation","150 Marcus Blvd","Hauppauge  NY  11788","US"
"002196","Telsey S.p.A.","Viale dell'Industria, 1","Quinto  DiTreviso  31055","IT"
"00218D","AP Router Ind. Eletronica LTDA","Av. Lomanto Junior, 1000","Ilheus  Bahia  45654-000","BR"
"002190","Goliath Solutions","3082 Sterling Circle","Boulder  Colorado  80301","US"
"002185","MICRO-STAR INT'L CO.,LTD.","No.69,Li-De St,Jung-Ho City","Taipei Hsien    235","TW"
"002182","SandLinks Systems, Ltd.","P.O.Box 4629","Petah-Tiqwa  Israel  49277","IL"
"002183","ANDRITZ HYDRO GmbH","Eibesbrunnergasse 20","Vienna    1120","AT"
"0021A6","Videotec Spa","Via Friuli,6","Schio  Vicenza  36015","IT"
"00219F","SATEL OY","Meriniitynkatu 17","SALO  Lansi-Suomen Laani  24100","FI"
"002168","iVeia, LLC","51 Franklin Street","Annapolis  MD  21401","US"
"001FDD","GDI LLC","One MidAmerica Plaza","Oakbrook Terrace  IL  60181","US"
"001FDA","Nortel Networks","2221 Lakeside Blvd","Richardson  TX  75081","US"
"001FB0","TimeIPS, Inc.","3522 N Comotara St","Wichita  KS  67226","US"
"001FD9","RSD Communications Ltd","8 Borrowmeadow Road","Stirling  Scotland  FK7 7UW","GB"
"001FCE","QTECH LLC","Novozavodskaya st. 18 build. 1","Moscow  Moscow region  121309","RU"
"001FF0","Audio Partnership","Gallery Court","London    SE1 4BB","GB"
"001FEA","Applied Media Technologies Corporation","4091 AMTC Center Drive","Clearwater  FL  33764","US"
"001FE9","Printrex, Inc.","276 East Gish Road","San Jose  CA  95112","US"
"002110","Clearbox Systems","Suite 2, Level 2","Macquarie Park  NSW  2113","AU"
"00210C","Cymtec Systems, Inc.","10845 Olive Bouleveard","St Louis  MO  63141","US"
"00210B","GEMINI TRAZE RFID PVT. LTD.","1, DR. RANGA ROAD","CHENNAI  TAMILNADU  600018","IN"
"002104","Gigaset Communications GmbH","Frankenstrasse 2","46395  Bocholt","DE"
